# Server version 0.08 running on 192.168.1.4:8123
# Game ID: 233
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 10000
# First Move Timeout: 30000
# Date: Mon Apr 10 00:15:03 EDT 2017
# Player 1: Player-0, '260674699_7', running on localhost
# Player 2: Player-1, '260674699_5', running on localhost
START Player-0 260674699_7
START Player-1 260674699_5
PIT 0 2
PIT 1 0
PIT 1 1
PIT 1 2
PIT 0 2
PIT 0 0
PIT 1 1
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 2
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 0
PIT 1 3
PIT 0 3
PIT 1 1
PIT 0 1
PIT 1 3
PIT 0 3
PIT 0 4
PIT 1 3
PIT 0 3
PIT 1 5
PIT 0 0
PIT 1 2
PIT 0 4
PIT 1 1
PIT 0 1
PIT 1 3
PIT 0 4
PIT 1 0
PIT 0 3
PIT 1 2
PIT 0 4
PIT 1 1
PIT 0 5
PIT 1 1
PIT 0 5
PIT 1 0
PIT 0 4
PIT 1 2
PIT 0 3
PIT 1 1
PIT 0 5
PIT 1 0
PIT 0 4
PIT 1 2
PIT 0 2
PIT 1 5
PIT 0 5
PIT 1 2
PIT 0 4
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 4
PIT 1 2
GAMEOVER WINNER 1         Player-0 score: 18  Player-1 score: 54
# Game ended: Mon Apr 10 00:15:11 EDT 2017
