# Server version 0.08 running on 192.168.1.4:8123
# Game ID: 241
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 10000
# First Move Timeout: 30000
# Date: Mon Apr 10 00:23:43 EDT 2017
# Player 1: Player-0, '260674699_4', running on localhost
# Player 2: Player-1, '260674699_5', running on localhost
START Player-0 260674699_4
START Player-1 260674699_5
PIT 0 2
PIT 1 0
PIT 0 1
PIT 1 0
PIT 0 5
PIT 1 4
PIT 0 5
PIT 0 0
PIT 1 0
PIT 0 4
PIT 0 3
PIT 1 1
PIT 1 2
PIT 0 0
PIT 1 2
PIT 0 2
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 3
PIT 1 5
PIT 0 4
PIT 1 4
PIT 0 2
PIT 1 2
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 0
PIT 0 4
PIT 1 4
PIT 0 3
PIT 1 2
PIT 0 5
PIT 1 1
PIT 0 2
PIT 1 0
PIT 0 4
PIT 1 2
PIT 0 3
PIT 1 1
PIT 1 2
PIT 0 4
PIT 1 3
GAMEOVER WINNER 1         Player-0 score: 28  Player-1 score: 44
# Game ended: Mon Apr 10 00:23:51 EDT 2017
